,,,,,,
Ordem,Vagão,Data iníc.real,Data fim real,Hora iníc.real,Hora fim real,Trabalho real
202002753413,Vagão 1,1/4/2021,1/4/2021,09:00:01,11:10:00,2:09:59 AM
202004934615,Vagão 2,1/4/2021,1/4/2021,13:00:01,14:20:00,1:19:59 AM
202001584894,Vagão 3,1/5/2021,1/5/2021,10:41:01,11:10:00,12:28:59 AM
202001584895,Vagão 4,1/5/2021,1/5/2021,11:11:01,11:42:00,12:30:59 AM
202001585784,Vagão 5,1/5/2021,1/5/2021,15:23:01,16:05:00,12:41:59 AM
202001601064,Vagão 6,1/5/2021,1/5/2021,13:23:01,14:00:00,12:36:59 AM
202001601193,Vagão 7,1/5/2021,1/5/2021,12:00:01,12:41:00,12:40:59 AM
202001584942,Vagão 8,1/6/2021,1/6/2021,13:00:01,13:35:00,12:34:59 AM
202001584943,Vagão 9,1/6/2021,1/6/2021,13:38:01,14:10:00,12:31:59 AM
202002360264,Vagão 10,1/6/2021,1/6/2021,09:21:01,10:10:00,12:48:59 AM
202001584942,Vagão 11,1/7/2021,1/7/2021,09:00:01,09:30:00,12:29:59 AM
202001584943,Vagão 12,1/7/2021,1/7/2021,09:31:01,10:00:00,12:28:59 AM
202001598696,Vagão 13,1/7/2021,1/7/2021,14:25:01,15:00:00,12:34:59 AM
202001585935,Vagão 14,1/8/2021,1/8/2021,14:00:01,14:58:00,12:57:59 AM
202001585935,Vagão 15,1/8/2021,1/8/2021,14:58:01,14:59:00,12:00:59 AM
202001590745,Vagão 16,1/11/2021,1/11/2021,11:10:01,12:00:00,12:49:59 AM
202001589899,Vagão 17,1/13/2021,1/13/2021,10:05:01,11:10:00,1:04:59 AM
202001584882,Vagão 18,1/14/2021,1/14/2021,13:10:01,14:00:00,12:49:59 AM
202001584883,Vagão 19,1/14/2021,1/14/2021,14:01:01,14:50:00,12:48:59 AM
202001590257,Vagão 20,1/18/2021,1/18/2021,12:11:01,12:50:00,12:38:59 AM
202001585437,Vagão 21,1/19/2021,1/19/2021,10:35:01,11:05:00,12:29:59 AM
202001585438,Vagão 22,1/19/2021,1/19/2021,11:06:01,11:36:00,12:29:59 AM
202001587537,Vagão 23,1/19/2021,1/19/2021,13:22:01,14:10:00,12:47:59 AM
202001587628,Vagão 24,1/19/2021,1/19/2021,14:12:01,15:10:00,12:57:59 AM
202001587822,Vagão 25,1/19/2021,1/19/2021,11:37:01,12:20:00,12:42:59 AM
202002844561,Vagão 26,1/20/2021,1/20/2021,09:00:01,10:06:00,1:05:59 AM
202003834010,Vagão 27,1/20/2021,1/20/2021,10:10:01,11:25:00,1:14:59 AM
202001585377,Vagão 28,1/21/2021,1/21/2021,10:32:01,12:30:00,1:57:59 AM
202001585377,Vagão 29,1/21/2021,1/21/2021,11:50:01,12:30:00,12:39:59 AM
202001586824,Vagão 30,1/21/2021,1/21/2021,13:32:01,14:00:00,12:27:59 AM
202001587630,Vagão 31,1/21/2021,1/21/2021,14:51:01,15:20:00,12:28:59 AM
202001587820,Vagão 32,1/21/2021,1/21/2021,15:22:01,15:58:00,12:35:59 AM
202001587820,Vagão 33,1/21/2021,1/21/2021,15:58:01,16:00:00,12:01:59 AM
202001596554,Vagão 34,1/21/2021,1/21/2021,08:00:01,09:40:00,1:39:59 AM
202001596554,Vagão 35,1/21/2021,1/21/2021,09:41:01,10:30:00,12:48:59 AM
202001596554,Vagão 36,1/21/2021,1/21/2021,09:41:02,10:30:00,12:48:58 AM
202001585170,Vagão 37,1/22/2021,1/22/2021,13:00:01,14:00:00,12:59:59 AM
202001585171,Vagão 38,1/22/2021,1/22/2021,14:01:01,15:10:00,1:08:59 AM
202001588303,Vagão 39,1/25/2021,1/25/2021,14:11:01,15:30:00,1:18:59 AM
202001589562,Vagão 40,1/25/2021,1/25/2021,13:10:01,14:10:00,12:59:59 AM
202001589353,Vagão 41,1/26/2021,1/26/2021,09:00:01,11:12:00,2:11:59 AM
202001590565,Vagão 42,1/26/2021,1/26/2021,14:00:01,14:40:00,12:39:59 AM
202001585363,Vagão 43,1/27/2021,1/27/2021,09:50:01,12:30:00,2:39:59 AM
202001586905,Vagão 44,1/27/2021,1/27/2021,12:40:01,13:10:00,12:29:59 AM
202001591099,Vagão 45,1/27/2021,1/27/2021,14:10:01,14:45:00,12:34:59 AM
202004192384,Vagão 46,1/27/2021,1/27/2021,16:41:01,17:30:00,12:48:59 AM
202001584959,Vagão 47,1/28/2021,1/28/2021,14:15:01,15:20:00,1:04:59 AM
202001585130,Vagão 48,1/28/2021,1/28/2021,13:36:01,14:10:00,12:33:59 AM
202001585131,Vagão 49,1/28/2021,1/28/2021,13:00:01,13:35:00,12:34:59 AM
202001585281,Vagão 50,1/28/2021,1/28/2021,14:12:01,14:38:00,12:25:59 AM
202001585282,Vagão 51,1/28/2021,1/28/2021,14:40:01,15:20:00,12:39:59 AM
202001585635,Vagão 52,1/28/2021,1/28/2021,13:20:01,14:10:00,12:49:59 AM
202001588186,Vagão 53,1/28/2021,1/28/2021,09:00:01,10:20:00,1:19:59 AM
202001584757,Vagão 54,1/29/2021,1/29/2021,10:50:01,12:00:00,1:09:59 AM
202001586834,Vagão 55,1/29/2021,1/29/2021,09:00:01,10:40:00,1:39:59 AM
202001589643,Vagão 56,1/29/2021,1/29/2021,15:00:01,15:40:00,12:39:59 AM
202001589643,Vagão 57,1/29/2021,1/29/2021,15:00:01,17:00:00,1:59:59 AM
202001584955,Vagão 58,2/2/2021,2/2/2021,16:11:01,17:00:00,12:48:59 AM
202001585109,Vagão 59,2/2/2021,2/2/2021,15:30:01,16:10:00,12:39:59 AM
202001585844,Vagão 60,2/3/2021,2/3/2021,14:20:01,15:20:00,12:59:59 AM
202001585847,Vagão 61,2/3/2021,2/3/2021,23:15:01,23:59:00,12:43:59 AM
202001588004,Vagão 62,2/3/2021,2/3/2021,13:15:01,14:00:00,12:44:59 AM
202001585858,Vagão 63,2/4/2021,2/4/2021,00:20:01,01:00:00,12:39:59 AM
202001585861,Vagão 64,2/4/2021,2/4/2021,19:50:01,21:00:00,1:09:59 AM
202004378805,Vagão 65,2/4/2021,2/4/2021,09:20:01,10:50:00,1:29:59 AM
202100392682,Vagão 66,2/4/2021,2/4/2021,11:30:01,12:50:00,1:19:59 AM
202001583786,Vagão 67,2/5/2021,2/5/2021,09:30:01,11:30:00,1:59:59 AM
202001585418,Vagão 68,2/5/2021,2/5/2021,11:31:01,12:31:00,12:59:59 AM
202001585866,Vagão 69,2/5/2021,2/5/2021,13:35:01,14:40:00,1:04:59 AM
202001585517,Vagão 70,2/7/2021,2/7/2021,19:20:01,20:21:00,1:00:59 AM
202001585518,Vagão 71,2/7/2021,2/7/2021,21:00:01,22:00:00,12:59:59 AM
202001585762,Vagão 72,2/8/2021,2/8/2021,08:30:01,10:00:00,1:29:59 AM
202001585798,Vagão 73,2/8/2021,2/8/2021,11:40:01,12:40:00,12:59:59 AM
202001585805,Vagão 74,2/8/2021,2/8/2021,13:41:01,14:40:00,12:58:59 AM
202001587673,Vagão 75,2/8/2021,2/8/2021,19:40:01,20:30:00,12:49:59 AM
202001585125,Vagão 76,2/9/2021,2/9/2021,17:40:01,18:45:00,1:04:59 AM
202001585125,Vagão 77,2/9/2021,2/9/2021,09:40:01,10:40:00,12:59:59 AM
202100392686,Vagão 78,2/9/2021,2/9/2021,16:00:01,17:30:00,1:29:59 AM
202001585163,Vagão 79,2/10/2021,2/10/2021,14:20:01,15:10:00,12:49:59 AM
202001588128,Vagão 80,2/11/2021,2/11/2021,15:30:01,16:50:00,1:19:59 AM
202001597391,Vagão 81,2/11/2021,2/11/2021,11:05:01,12:20:00,1:14:59 AM
202001585585,Vagão 82,2/12/2021,2/12/2021,01:50:01,02:08:00,12:17:59 AM
202001585682,Vagão 83,2/12/2021,2/12/2021,09:30:01,11:40:00,2:09:59 AM
202001588073,Vagão 84,2/12/2021,2/12/2021,13:10:01,14:35:00,1:24:59 AM
202001588199,Vagão 85,2/12/2021,2/12/2021,20:08:01,21:22:00,1:13:59 AM
202001588191,Vagão 86,2/12/2021,2/13/2021,23:00:01,00:45:00,12:01:45 AM
202001592458,Vagão 87,2/15/2021,2/15/2021,22:45:01,23:59:00,1:13:59 AM
202001592480,Vagão 88,2/16/2021,2/16/2021,11:00:01,12:10:00,1:09:59 AM
202001592482,Vagão 89,2/16/2021,2/16/2021,20:15:01,21:28:00,1:12:59 AM
202001592489,Vagão 90,2/16/2021,2/16/2021,16:00:01,17:05:00,1:04:59 AM
202001592450,Vagão 91,2/18/2021,2/18/2021,09:10:01,10:00:00,12:49:59 AM
202001592452,Vagão 92,2/18/2021,2/18/2021,15:45:01,16:30:00,12:44:59 AM
202001592454,Vagão 93,2/18/2021,2/18/2021,13:05:01,14:00:00,12:54:59 AM
202001587577,Vagão 94,2/19/2021,2/19/2021,20:00:01,21:00:00,12:59:59 AM
202001588121,Vagão 95,2/19/2021,2/19/2021,09:10:01,10:10:00,12:59:59 AM
202001592456,Vagão 96,2/19/2021,2/19/2021,11:25:01,12:20:00,12:54:59 AM
202001598362,Vagão 97,2/19/2021,2/19/2021,22:10:01,23:28:00,1:17:59 AM
202001598367,Vagão 98,2/19/2021,2/19/2021,14:31:01,15:50:00,1:18:59 AM
202002371838,Vagão 99,2/20/2021,2/20/2021,21:06:01,22:26:00,1:19:59 AM
202001590743,Vagão 100,2/21/2021,2/21/2021,10:00:01,11:20:00,1:19:59 AM
202002483572,Vagão 101,2/20/2021,2/21/2021,23:05:01,00:10:00,1:05:00 AM
202001592629,Vagão 102,2/23/2021,2/23/2021,14:30:01,15:10:00,12:39:59 AM
202001592687,Vagão 103,2/23/2021,2/23/2021,16:30:01,17:10:00,12:39:59 AM
202001592627,Vagão 104,2/24/2021,2/24/2021,13:45:01,14:30:00,12:44:59 AM
202001592682,Vagão 105,2/24/2021,2/24/2021,21:00:01,22:00:00,12:59:59 AM
202001592684,Vagão 106,2/24/2021,2/24/2021,10:45:01,11:30:00,12:44:59 AM
202001592689,Vagão 107,2/24/2021,2/24/2021,09:00:01,09:40:00,12:39:59 AM
202001592484,Vagão 108,2/27/2021,2/27/2021,18:25:01,19:15:00,12:49:59 AM
202001592487,Vagão 109,2/27/2021,2/27/2021,16:00:01,17:00:00,12:59:59 AM
202001592631,Vagão 110,2/27/2021,2/27/2021,21:35:01,22:50:00,1:14:59 AM
202001592637,Vagão 111,2/27/2021,2/27/2021,19:19:01,20:31:00,1:11:59 AM
202001592633,Vagão 112,2/27/2021,2/28/2021,23:00:01,00:12:00,1:12:00 AM